state_abbr,latitude,longitude,name,administration,data_year,victims
AK,63.588753000000004,-154.493062,Alaska,Clinton 1st Term,1993,24
AK,63.588753000000004,-154.493062,Alaska,Clinton 1st Term,1994,9
AK,63.588753000000004,-154.493062,Alaska,Clinton 1st Term,1995,8
AK,63.588753000000004,-154.493062,Alaska,Clinton 1st Term,1996,9
AK,63.588753000000004,-154.493062,Alaska,Clinton 2nd Term,1997,10
AK,63.588753000000004,-154.493062,Alaska,Clinton 2nd Term,1999,5
AK,63.588753000000004,-154.493062,Alaska,Clinton 2nd Term,2000,4
AK,63.588753000000004,-154.493062,Alaska,Obama 1st Term,2009,9
AK,63.588753000000004,-154.493062,Alaska,Obama 1st Term,2010,7
AK,63.588753000000004,-154.493062,Alaska,Obama 1st Term,2011,8
AK,63.588753000000004,-154.493062,Alaska,Obama 1st Term,2012,6
AK,63.588753000000004,-154.493062,Alaska,Obama 2nd Term,2013,8
AK,63.588753000000004,-154.493062,Alaska,Obama 2nd Term,2014,6
AK,63.588753000000004,-154.493062,Alaska,Obama 2nd Term,2015,8
AK,63.588753000000004,-154.493062,Alaska,Obama 2nd Term,2016,11
AK,63.588753000000004,-154.493062,Alaska,Trump 1st Term,2017,2
AK,63.588753000000004,-154.493062,Alaska,Trump 1st Term,2018,5
AK,63.588753000000004,-154.493062,Alaska,W. Bush 1st Term,2001,20
AK,63.588753000000004,-154.493062,Alaska,W. Bush 1st Term,2002,7
AK,63.588753000000004,-154.493062,Alaska,W. Bush 1st Term,2003,13
AK,63.588753000000004,-154.493062,Alaska,W. Bush 1st Term,2004,9
AK,63.588753000000004,-154.493062,Alaska,W. Bush 2nd Term,2005,4
AK,63.588753000000004,-154.493062,Alaska,W. Bush 2nd Term,2006,6
AK,63.588753000000004,-154.493062,Alaska,W. Bush 2nd Term,2007,8
AK,63.588753000000004,-154.493062,Alaska,W. Bush 2nd Term,2008,8
AL,32.318231,-86.902298,Alabama,Clinton 1st Term,1993,5
AL,32.318231,-86.902298,Alabama,Obama 1st Term,2009,9
AL,32.318231,-86.902298,Alabama,Obama 1st Term,2010,19
AL,32.318231,-86.902298,Alabama,Obama 1st Term,2011,83
AL,32.318231,-86.902298,Alabama,Obama 1st Term,2012,6
AL,32.318231,-86.902298,Alabama,Obama 2nd Term,2013,6
AL,32.318231,-86.902298,Alabama,Obama 2nd Term,2014,9
AL,32.318231,-86.902298,Alabama,Obama 2nd Term,2015,10
AL,32.318231,-86.902298,Alabama,Obama 2nd Term,2016,14
AL,32.318231,-86.902298,Alabama,Trump 1st Term,2017,14
AL,32.318231,-86.902298,Alabama,Trump 1st Term,2018,2
AL,32.318231,-86.902298,Alabama,W. Bush 1st Term,2002,2
AL,32.318231,-86.902298,Alabama,W. Bush 1st Term,2003,1
AL,32.318231,-86.902298,Alabama,W. Bush 1st Term,2004,3
AL,32.318231,-86.902298,Alabama,W. Bush 2nd Term,2007,7
AL,32.318231,-86.902298,Alabama,W. Bush 2nd Term,2008,11
AR,35.20105,-91.83183299999999,Arkansas,Clinton 1st Term,1993,13
AR,35.20105,-91.83183299999999,Arkansas,Clinton 1st Term,1994,10
AR,35.20105,-91.83183299999999,Arkansas,Clinton 1st Term,1995,7
AR,35.20105,-91.83183299999999,Arkansas,Clinton 1st Term,1996,1
AR,35.20105,-91.83183299999999,Arkansas,Clinton 2nd Term,1998,3
AR,35.20105,-91.83183299999999,Arkansas,Clinton 2nd Term,1999,8
AR,35.20105,-91.83183299999999,Arkansas,Clinton 2nd Term,2000,3
AR,35.20105,-91.83183299999999,Arkansas,Obama 1st Term,2009,75
