administration,data_year,state_abbr,victims
Clinton 1st Term,1993,AK,24
Clinton 1st Term,1993,AL,5
Clinton 1st Term,1993,AR,13
Clinton 1st Term,1993,AZ,208
Clinton 1st Term,1993,CA,364
Clinton 1st Term,1993,CO,178
Clinton 1st Term,1993,CT,116
Clinton 1st Term,1993,DC,10
Clinton 1st Term,1993,DE,33
Clinton 1st Term,1993,FL,239
Clinton 1st Term,1993,GA,75
Clinton 1st Term,1993,IA,39
Clinton 1st Term,1993,ID,70
Clinton 1st Term,1993,IL,745
Clinton 1st Term,1993,IN,82
Clinton 1st Term,1993,KY,13
Clinton 1st Term,1993,LA,23
Clinton 1st Term,1993,MA,343
Clinton 1st Term,1993,MD,405
Clinton 1st Term,1993,ME,32
Clinton 1st Term,1993,MI,248
Clinton 1st Term,1993,MO,167
Clinton 1st Term,1993,MT,21
Clinton 1st Term,1993,NC,10
Clinton 1st Term,1993,ND,1
Clinton 1st Term,1993,NJ,1100
Clinton 1st Term,1993,NM,4
Clinton 1st Term,1993,NV,12
Clinton 1st Term,1993,NY,934
Clinton 1st Term,1993,OH,260
Clinton 1st Term,1993,OK,61
Clinton 1st Term,1993,OR,237
Clinton 1st Term,1993,PA,391
Clinton 1st Term,1993,RI,62
Clinton 1st Term,1993,SC,27
Clinton 1st Term,1993,SD,4
Clinton 1st Term,1993,TN,2
Clinton 1st Term,1993,TX,418
Clinton 1st Term,1993,UT,45
Clinton 1st Term,1993,VA,100
Clinton 1st Term,1993,VT,1
Clinton 1st Term,1993,WA,457
Clinton 1st Term,1993,WI,19
Clinton 1st Term,1993,WY,10
Clinton 1st Term,1994,AK,9
Clinton 1st Term,1994,AR,10
Clinton 1st Term,1994,AZ,205
Clinton 1st Term,1994,CA,354
Clinton 1st Term,1994,CO,174
Clinton 1st Term,1994,CT,68
Clinton 1st Term,1994,DC,2
Clinton 1st Term,1994,DE,42
Clinton 1st Term,1994,FL,214
Clinton 1st Term,1994,GA,51
Clinton 1st Term,1994,IA,61
Clinton 1st Term,1994,ID,80
Clinton 1st Term,1994,IL,239
Clinton 1st Term,1994,IN,32
Clinton 1st Term,1994,KY,4
Clinton 1st Term,1994,LA,9
Clinton 1st Term,1994,MD,331
Clinton 1st Term,1994,ME,7
Clinton 1st Term,1994,MI,252
Clinton 1st Term,1994,MO,140
Clinton 1st Term,1994,MS,6
Clinton 1st Term,1994,NC,7
Clinton 1st Term,1994,ND,5
Clinton 1st Term,1994,NH,3
Clinton 1st Term,1994,NJ,895
Clinton 1st Term,1994,NM,12
Clinton 1st Term,1994,NV,16
Clinton 1st Term,1994,NY,911
Clinton 1st Term,1994,OH,357
Clinton 1st Term,1994,OK,20
Clinton 1st Term,1994,OR,177
Clinton 1st Term,1994,PA,278
Clinton 1st Term,1994,RI,37
Clinton 1st Term,1994,SC,33
Clinton 1st Term,1994,SD,1
Clinton 1st Term,1994,TN,20
Clinton 1st Term,1994,TX,365
Clinton 1st Term,1994,UT,93
Clinton 1st Term,1994,VA,95
Clinton 1st Term,1994,VT,12
Clinton 1st Term,1994,WA,281
Clinton 1st Term,1994,WI,40
Clinton 1st Term,1994,WY,6
Clinton 1st Term,1995,AK,8
Clinton 1st Term,1995,AR,7
Clinton 1st Term,1995,AZ,220
Clinton 1st Term,1995,CA,1751
Clinton 1st Term,1995,CO,149
Clinton 1st Term,1995,CT,87
Clinton 1st Term,1995,DC,4
Clinton 1st Term,1995,DE,45
Clinton 1st Term,1995,FL,164
Clinton 1st Term,1995,GA,49
Clinton 1st Term,1995,IA,29
Clinton 1st Term,1995,ID,114
Clinton 1st Term,1995,IL,146
Clinton 1st Term,1995,IN,35
Clinton 1st Term,1995,KY,81
Clinton 1st Term,1995,LA,7
Clinton 1st Term,1995,MA,333
Clinton 1st Term,1995,MD,353
Clinton 1st Term,1995,ME,75
Clinton 1st Term,1995,MI,407
Clinton 1st Term,1995,MN,285
Clinton 1st Term,1995,MO,135
Clinton 1st Term,1995,MS,6
Clinton 1st Term,1995,MT,11
Clinton 1st Term,1995,NC,52
Clinton 1st Term,1995,ND,3
Clinton 1st Term,1995,NH,24
Clinton 1st Term,1995,NJ,768
Clinton 1st Term,1995,NM,24
Clinton 1st Term,1995,NV,68
Clinton 1st Term,1995,NY,845
Clinton 1st Term,1995,OH,266
Clinton 1st Term,1995,OK,37
Clinton 1st Term,1995,OR,152
Clinton 1st Term,1995,PA,284
Clinton 1st Term,1995,RI,46
Clinton 1st Term,1995,SC,26
Clinton 1st Term,1995,SD,5
Clinton 1st Term,1995,TN,25
Clinton 1st Term,1995,TX,326
Clinton 1st Term,1995,UT,107
Clinton 1st Term,1995,VA,51
Clinton 1st Term,1995,VT,10
Clinton 1st Term,1995,WA,266
Clinton 1st Term,1995,WI,45
Clinton 1st Term,1995,WY,19
Clinton 1st Term,1996,AK,9
Clinton 1st Term,1996,AR,1
Clinton 1st Term,1996,AZ,250
Clinton 1st Term,1996,CA,2052
Clinton 1st Term,1996,CO,133
Clinton 1st Term,1996,CT,114
Clinton 1st Term,1996,DC,16
Clinton 1st Term,1996,DE,67
Clinton 1st Term,1996,FL,187
Clinton 1st Term,1996,GA,28
Clinton 1st Term,1996,IA,43
Clinton 1st Term,1996,ID,72
Clinton 1st Term,1996,IL,348
Clinton 1st Term,1996,IN,36
Clinton 1st Term,1996,KS,28
Clinton 1st Term,1996,KY,109
Clinton 1st Term,1996,LA,6
Clinton 1st Term,1996,MA,456
Clinton 1st Term,1996,MD,387
Clinton 1st Term,1996,ME,58
Clinton 1st Term,1996,MI,514
Clinton 1st Term,1996,MN,268
Clinton 1st Term,1996,MO,150
Clinton 1st Term,1996,MS,3
Clinton 1st Term,1996,MT,10
Clinton 1st Term,1996,NB,3
Clinton 1st Term,1996,NC,34
Clinton 1st Term,1996,ND,2
Clinton 1st Term,1996,NH,1
Clinton 1st Term,1996,NJ,839
Clinton 1st Term,1996,NM,44
Clinton 1st Term,1996,NV,44
Clinton 1st Term,1996,NY,903
Clinton 1st Term,1996,OH,234
Clinton 1st Term,1996,OK,83
Clinton 1st Term,1996,OR,172
Clinton 1st Term,1996,PA,205
Clinton 1st Term,1996,RI,40
Clinton 1st Term,1996,SC,43
Clinton 1st Term,1996,SD,3
Clinton 1st Term,1996,TN,33
Clinton 1st Term,1996,TX,350
Clinton 1st Term,1996,UT,59
Clinton 1st Term,1996,VA,100
Clinton 1st Term,1996,VT,4
Clinton 1st Term,1996,WA,198
Clinton 1st Term,1996,WI,43
Clinton 1st Term,1996,WV,4
Clinton 1st Term,1996,WY,4
Clinton 2nd Term,1997,AK,10
Clinton 2nd Term,1997,AZ,330
Clinton 2nd Term,1997,CA,1831
Clinton 2nd Term,1997,CO,115
Clinton 2nd Term,1997,CT,113
Clinton 2nd Term,1997,DC,6
Clinton 2nd Term,1997,DE,58
Clinton 2nd Term,1997,FL,127
Clinton 2nd Term,1997,GA,45
Clinton 2nd Term,1997,IA,55
Clinton 2nd Term,1997,ID,46
Clinton 2nd Term,1997,IL,339
Clinton 2nd Term,1997,IN,62
Clinton 2nd Term,1997,KS,55
Clinton 2nd Term,1997,KY,48
Clinton 2nd Term,1997,LA,4
Clinton 2nd Term,1997,MA,444
Clinton 2nd Term,1997,MD,323
Clinton 2nd Term,1997,ME,57
Clinton 2nd Term,1997,MI,463
Clinton 2nd Term,1997,MN,214
Clinton 2nd Term,1997,MO,158
Clinton 2nd Term,1997,MT,15
Clinton 2nd Term,1997,NB,3
Clinton 2nd Term,1997,NC,42
Clinton 2nd Term,1997,ND,2
Clinton 2nd Term,1997,NJ,694
Clinton 2nd Term,1997,NM,24
Clinton 2nd Term,1997,NV,45
Clinton 2nd Term,1997,NY,853
Clinton 2nd Term,1997,OH,265
Clinton 2nd Term,1997,OK,41
Clinton 2nd Term,1997,OR,105
Clinton 2nd Term,1997,PA,163
Clinton 2nd Term,1997,RI,43
Clinton 2nd Term,1997,SC,71
Clinton 2nd Term,1997,SD,34
Clinton 2nd Term,1997,TN,57
Clinton 2nd Term,1997,TX,338
Clinton 2nd Term,1997,UT,52
Clinton 2nd Term,1997,VA,105
Clinton 2nd Term,1997,VT,3
Clinton 2nd Term,1997,WA,190
Clinton 2nd Term,1997,WI,50
Clinton 2nd Term,1997,WV,3
Clinton 2nd Term,1997,WY,6
Clinton 2nd Term,1998,AR,3
Clinton 2nd Term,1998,AZ,283
Clinton 2nd Term,1998,CA,1749
Clinton 2nd Term,1998,CO,131
Clinton 2nd Term,1998,CT,111
Clinton 2nd Term,1998,DC,4
Clinton 2nd Term,1998,DE,19
Clinton 2nd Term,1998,FL,179
Clinton 2nd Term,1998,GA,34
Clinton 2nd Term,1998,IA,42
Clinton 2nd Term,1998,ID,56
Clinton 2nd Term,1998,IL,277
Clinton 2nd Term,1998,IN,50
Clinton 2nd Term,1998,KS,54
Clinton 2nd Term,1998,KY,48
Clinton 2nd Term,1998,LA,10
Clinton 2nd Term,1998,MA,443
Clinton 2nd Term,1998,MD,282
Clinton 2nd Term,1998,ME,57
Clinton 2nd Term,1998,MI,392
Clinton 2nd Term,1998,MN,248
Clinton 2nd Term,1998,MO,120
Clinton 2nd Term,1998,MS,3
Clinton 2nd Term,1998,MT,22
Clinton 2nd Term,1998,NB,52
Clinton 2nd Term,1998,NC,39
Clinton 2nd Term,1998,ND,2
Clinton 2nd Term,1998,NH,16
Clinton 2nd Term,1998,NJ,757
Clinton 2nd Term,1998,NM,31
Clinton 2nd Term,1998,NV,60
Clinton 2nd Term,1998,NY,776
Clinton 2nd Term,1998,OH,254
Clinton 2nd Term,1998,OK,57
Clinton 2nd Term,1998,OR,101
Clinton 2nd Term,1998,PA,164
Clinton 2nd Term,1998,RI,29
Clinton 2nd Term,1998,SC,66
Clinton 2nd Term,1998,SD,19
Clinton 2nd Term,1998,TN,73
Clinton 2nd Term,1998,TX,301
Clinton 2nd Term,1998,UT,67
Clinton 2nd Term,1998,VA,158
Clinton 2nd Term,1998,VT,13
Clinton 2nd Term,1998,WA,223
Clinton 2nd Term,1998,WV,21
Clinton 2nd Term,1998,WY,6
Clinton 2nd Term,1999,AK,5
Clinton 2nd Term,1999,AR,8
Clinton 2nd Term,1999,AZ,252
Clinton 2nd Term,1999,CA,1949
Clinton 2nd Term,1999,CO,155
Clinton 2nd Term,1999,CT,138
Clinton 2nd Term,1999,DC,11
Clinton 2nd Term,1999,DE,37
Clinton 2nd Term,1999,FL,267
Clinton 2nd Term,1999,GA,36
Clinton 2nd Term,1999,IA,31
Clinton 2nd Term,1999,ID,34
Clinton 2nd Term,1999,IL,247
Clinton 2nd Term,1999,IN,112
Clinton 2nd Term,1999,KS,41
Clinton 2nd Term,1999,KY,71
Clinton 2nd Term,1999,LA,6
Clinton 2nd Term,1999,MA,448
Clinton 2nd Term,1999,MD,230
Clinton 2nd Term,1999,ME,22
Clinton 2nd Term,1999,MI,412
Clinton 2nd Term,1999,MN,226
Clinton 2nd Term,1999,MO,84
Clinton 2nd Term,1999,MS,2
Clinton 2nd Term,1999,MT,28
Clinton 2nd Term,1999,NB,35
Clinton 2nd Term,1999,NC,31
Clinton 2nd Term,1999,ND,2
Clinton 2nd Term,1999,NH,20
Clinton 2nd Term,1999,NJ,617
Clinton 2nd Term,1999,NM,16
Clinton 2nd Term,1999,NV,75
Clinton 2nd Term,1999,NY,590
Clinton 2nd Term,1999,OH,232
Clinton 2nd Term,1999,OK,42
Clinton 2nd Term,1999,OR,123
Clinton 2nd Term,1999,PA,187
Clinton 2nd Term,1999,RI,41
Clinton 2nd Term,1999,SC,73
Clinton 2nd Term,1999,SD,14
Clinton 2nd Term,1999,TN,131
Clinton 2nd Term,1999,TX,263
Clinton 2nd Term,1999,UT,59
Clinton 2nd Term,1999,VA,211
Clinton 2nd Term,1999,VT,16
Clinton 2nd Term,1999,WA,229
Clinton 2nd Term,1999,WI,49
Clinton 2nd Term,1999,WV,33
Clinton 2nd Term,1999,WY,2
Clinton 2nd Term,2000,AK,4
Clinton 2nd Term,2000,AR,3
